Sources
2014B	http://www.stfc.ac.uk/files/small-awards-2014b/
2014A	http://www.stfc.ac.uk/files/1838/1838_res_1.pdf
2013B	http://www.stfc.ac.uk/resources/pdf/PE%20Small%20Awards%20Winners%202013B.pdf
2013A	http://www.stfc.ac.uk/resources/pdf/PE%20Small%20Awards%20Winners%202013A.pdf
1999B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2000A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2000B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2001A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2001B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2002A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2002B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2003A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2003B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2004A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2004B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2005A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2005B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2006A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2006B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2007A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2007B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2008A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2008B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2009A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2009B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2010A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2010B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2011A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2011B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2012A	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf
2012B	http://www.stfc.ac.uk/resources/pdf/PrevSmallAwards.pdf

Regions
North West	7052000
North East	2597000
South West	5289000
South East	8635000
East Midlands	4533000
West Midlands	5602000
East of England	5847000
London	8204100
Yorkshire and the Humber	5284000
Wales	3063456
Scotland	5327700
Northern Ireland	1810863

Round	Amount	Title	Organization	Location	Region
2014B	9998	Measuring the effects of Space Weather in the UK using a network of school magnetometers	NERC British Geological Survey	Nottingham	East Midlands
2014B	10000	Organised Chaos - inspiring the next generation of scientists and engineers by working scientifically with experts	University of Manchester	Manchester	North West
2014B	7400	How to handle a radioactive nucleus: ISOLDE 50th anniversary robot competition	University of Manchester	Manchester	North West
2014B	7117	Pilot for The Elusive Ms Higgs: a detective fiction of elementary truths	Brunel University	London	London
2014B	8434	Bringing small solar system bodies into the classroom - A Rosetta teacher conference in Kent	University of Kent	Kent	South East
2014B	9775	Science on Stage - Illuminating Science Education Festival 2015	Queen Mary, University of London	London	South East
2014B	9500	Rosetta Digital Outreach Project	National Maritime Museum	London	London
2014B	9330	Discovering Northern Dark Skies	North Pennines AONB Partnership	North Pennines	North East;North West
2014B	9780	Bringing research to life: Recreating a 3D stone Archaeopteryx fossil as a digital interactive; where cutting edge science can be released through touch	Manchester Museum	Manchester	North West
2014B	9993	A Broad Spectrum of Light: Celebrations for IYL2015	The Observatory Science Centre	Herstmonceux	South East
2014B	10000	X Rays, Crystals and Dinosaurs - Exhibition at the National Eisteddfod of Wales 2015	National Eisteddfod of Wales	Montgomeryshire and the Marches	Wales

2014A	3000	CHaOS Summer Roadshow 2014	Cambridge Hands On Science (CHaOS)	Cambridge	East of England
2014A	5000	Classroom Hangouts with Spacelink Experts: to extend and develop outreach and communication between the space science and the education communities	Spacelink Learning Foundation	Guilford	South East
2014A	8996	Lego Rovers Evolution	University of Liverpool	Liverpool	North West
2014A	9922	The Enlightenment Cafe: New Atlantis - Multidisciplinary theatre exploring the technology behind satellites and science of measuring Climate Change	LAStheatre C.I.C	London	London
2014A	9250	Curved words: stories of space, time and light	Freight Design (Scotland) Ltd	Glasgow	Scotland
2014A	9581	Catch a Shooting Star	Open University	Manchester	North West
2014A	1630	Microscopy Summer School for GCSE Students	University of Glasgow	Glasgow	Scotland
2014A	5520	Unlimited Space Agency - Research & Development	Unlimited Theatre	Leeds	Yorkshire and the Humber
2014A	6292	Crystals within crystals: The story of sea ice	Bangor University	Bangor	Wales
2014A	9150	Oculus Rift Planetarium	University of Edinburgh	Edinburgh	Scotland
2014A	1852	Astronomy in The City	University of Birmingham	Birmingham	West Midlands
2014A	9968	Printing the Moon	University of Dundee	Dundee	Scotland
2014A	10000	CERN LIVE event at the Gravity Fields Festival	South Kesteven District Council	Grantham	East Midlands
2014A	5000	Building self - esteem with regard to learning in science (physics) within a special school and for underachievers in a mainstream setting	Alfriston School	Beaconsfield	South East

2013B	9500	The Mighty Sky UK	University of Glamorgan	Glamorgan	Wales
